Scheme           mu   n  i VM             |     Commit       Open     Prover |     Verify      Proof       Comm     CV |             Time
dHyperFond       20  16 10 e2-highmem-2   |          -          -      2.35s |      1.17s     9.88MB   148.08MB     3% | 2026-02-01 20:21
dHyperFond       21  16 10 e2-highmem-2   |          -          -      3.75s |      1.35s    11.40MB   170.96MB     5% | 2026-02-01 20:35
dHyperFond       22  16 10 e2-highmem-2   |          -          -      6.26s |      1.57s    13.18MB   197.64MB     1% | 2026-02-01 20:25
dHyperFond       23  16 10 e2-highmem-2   |          -          -     11.54s |      1.84s    15.22MB   228.23MB     1% | 2026-02-01 20:28
dHyperFond       24  16 10 e2-highmem-2   |          -          -     23.33s |      2.23s    17.60MB   263.94MB     4% | 2026-02-01 22:25
dHyperFond       25  16 10 e2-highmem-2   |          -          -     46.28s |      3.11s    20.39MB   305.79MB     4% | 2026-02-01 22:17
dHyperPianist    17   2 10 e2-highmem-8   |          -          -      5.76s |     15.5ms    11.08KB    25.89KB     1% | 2026-02-03 00:33
dHyperPianist    18   2 10 e2-highmem-8   |          -          -     11.59s |     16.0ms    11.66KB    27.29KB     1% | 2026-02-03 00:36
dHyperPianist    19   2 10 e2-highmem-8   |          -          -     23.18s |     16.4ms    12.24KB    28.69KB     1% | 2026-02-03 00:41
dHyperPianist    20   2 10 e2-highmem-8   |          -          -     46.71s |     16.9ms    12.81KB    30.08KB     0% | 2026-02-03 00:51
dHyperPianist    21   2 10 e2-highmem-8   |          -          -     96.39s |     17.4ms    13.39KB    31.48KB     1% | 2026-02-03 01:12
dHyperPianist    18   4 10 e2-highmem-4   |          -          -      7.48s |     17.0ms    11.66KB    77.38KB     1% | 2026-02-02 06:57
dHyperPianist    19   4 10 e2-highmem-4   |          -          -     14.70s |     17.0ms    12.24KB    81.54KB     1% | 2026-02-02 07:01
dHyperPianist    20   4 10 e2-highmem-4   |          -          -     34.19s |     18.2ms    12.81KB    85.69KB   33%! | 2026-02-02 07:08
dHyperPianist    21   4 10 e2-highmem-4   |          -          -     61.84s |     17.6ms    13.39KB    89.85KB   12%~ | 2026-02-02 07:21
dHyperPianist    19   8 10 e2-highmem-4   |          -          -      7.52s |     21.1ms    12.24KB   180.99KB     0% | 2026-02-02 03:09
dHyperPianist    20   8 10 e2-highmem-4   |          -          -     14.80s |     21.7ms    12.81KB   190.66KB     0% | 2026-02-02 03:12
dHyperPianist    21   8 10 e2-highmem-4   |          -          -     34.97s |     22.5ms    13.39KB   200.33KB   31%! | 2026-02-02 03:20
dHyperPianist    22   8 10 e2-highmem-4   |          -          -     59.75s |     22.8ms    13.97KB   210.00KB     2% | 2026-02-02 03:32
dHyperPianist    20  16 10 e2-highmem-2   |          -          -      7.67s |     16.9ms    12.81KB   389.34KB     3% | 2026-02-01 13:42
dHyperPianist    21  16 10 e2-highmem-2   |          -          -     14.91s |     17.1ms    13.39KB   410.04KB     1% | 2026-02-01 13:46
dHyperPianist    22  16 10 e2-highmem-2   |          -          -     30.83s |     18.1ms    13.97KB   430.74KB     3% | 2026-02-01 13:52
dHyperPianist    23  16 10 e2-highmem-2   |          -          -     60.79s |     18.5ms    14.55KB   451.44KB     2% | 2026-02-01 14:05
dLigeSIS         27   2  5 e2-highmem-8   |     28.49s     13.27s     41.75s |    698.8ms   381.04KB   597.04MB     3% | 2026-01-31 18:42
dLigeSIS         28   2  5 e2-highmem-8   |     54.15s     24.62s     78.78s |    978.0ms   460.06KB   855.27MB     3% | 2026-01-31 18:49
dLigeSIS         29   2  5 e2-highmem-8   |    114.16s     33.84s    148.01s |      1.39s   544.91KB  1193.31MB     4% | 2026-01-31 19:01
dLigeSIS         30   2  5 e2-highmem-8   |    228.30s     82.55s    310.85s |      2.02s   702.68KB  1709.64MB     4% | 2026-01-31 19:28
dLigeSIS         27   4  5 e2-highmem-4   |     17.48s      9.51s     26.99s |    803.5ms   389.79KB   772.78MB     2% | 2026-01-31 18:15
dLigeSIS         28   4  5 e2-highmem-4   |     32.15s     15.76s     47.92s |    925.7ms          -  1080.01MB     2% | 2026-01-29 05:03
dLigeSIS         29   4  5 e2-highmem-4   |     67.70s     21.73s     89.43s |      1.30s          -  1543.13MB     1% | 2026-01-29 05:11
dLigeSIS         30   4  5 e2-highmem-4   |    131.32s     44.55s    175.87s |      1.85s          -  2157.65MB     2% | 2026-01-29 05:27
dLigeSIS         27   8 10 e2-highmem-2   |     10.55s      7.80s     18.35s |    801.5ms          -   964.96MB     3% | 2026-01-29 04:08
dLigeSIS         28   8 10 e2-highmem-2   |     17.99s     12.83s     30.82s |      1.11s          -  1296.80MB     2% | 2026-01-29 04:13
dLigeSIS         29   8 10 e2-highmem-2   |     37.80s     16.08s     53.88s |      1.58s          -  1924.40MB     1% | 2026-01-29 04:23
dLigeSIS         30   8 10 e2-highmem-2   |     69.98s     28.32s     98.30s |      2.30s          -  2588.08MB     2% | 2026-01-29 04:40
dLigeSIS         25  16 10 e2-highmem-2   |      3.31s      3.30s      6.61s |    343.3ms   328.82KB   636.07MB   11%~ | 2026-01-31 19:48
dLigeSIS         26  16 10 e2-highmem-2   |      3.72s      5.07s      8.79s |    452.5ms   399.10KB   808.16MB     1% | 2026-01-31 19:50
dLigeSIS         27  16 10 e2-highmem-2   |      7.87s      6.20s     14.07s |    632.6ms   442.29KB  1269.79MB     1% | 2026-01-31 19:53
dLigeSIS         28  16 10 e2-highmem-2   |     10.83s     10.27s     21.10s |    909.0ms   582.56KB  1613.98MB     1% | 2026-01-31 19:57
dLigeSIS         29  16 10 e2-highmem-2   |     22.88s     13.00s     35.87s |      1.26s   667.41KB  2527.75MB     2% | 2026-01-31 20:03
dLigeSIS         30  16 10 e2-highmem-2   |     38.46s     22.51s     60.97s |      1.89s   947.68KB  3216.16MB     2% | 2026-01-31 20:14
dmKZG-PCS        18   2 10 e2-highmem-8   |      1.04s      1.08s      2.12s |     13.9ms     0.57KB     2.45KB     1% | 2026-02-03 01:22
dmKZG-PCS        19   2 10 e2-highmem-8   |      2.09s      2.09s      4.19s |     14.3ms     0.60KB     2.57KB     1% | 2026-02-03 01:23
dmKZG-PCS        20   2 10 e2-highmem-8   |      4.35s      4.23s      8.58s |     14.9ms     0.63KB     2.70KB     1% | 2026-02-03 01:26
dmKZG-PCS        21   2 10 e2-highmem-8   |      8.43s      8.58s     17.01s |     15.5ms     0.67KB     2.82KB     1% | 2026-02-03 01:30
dmKZG-PCS        22   2 10 e2-highmem-8   |     16.58s     16.98s     33.56s |     15.8ms     0.70KB     2.95KB     2% | 2026-02-03 01:38
dmKZG-PCS        23   2 10 e2-highmem-8   |     31.86s     32.64s     64.50s |     16.0ms     0.73KB     3.07KB     1% | 2026-02-03 01:52
dmKZG-PCS        19   4 10 e2-highmem-4   |      1.39s      1.45s      2.84s |     15.4ms     0.60KB     7.35KB   14%~ | 2026-02-02 07:46
dmKZG-PCS        20   4 10 e2-highmem-4   |      2.58s      2.67s      5.25s |     17.0ms     0.63KB     7.72KB     4% | 2026-02-02 07:48
dmKZG-PCS        21   4 10 e2-highmem-4   |      5.09s      5.15s     10.24s |     16.8ms     0.67KB     8.10KB     2% | 2026-02-02 07:51
dmKZG-PCS        22   4 10 e2-highmem-4   |      9.75s     10.17s     19.93s |     17.3ms     0.70KB     8.47KB     1% | 2026-02-02 07:57
dmKZG-PCS        23   4 10 e2-highmem-4   |     20.12s     21.95s     42.07s |     18.7ms     0.73KB     8.85KB     9% | 2026-02-02 08:08
dmKZG-PCS        21   8 10 e2-highmem-4   |      2.48s      2.66s      5.15s |     22.4ms     0.67KB    18.18KB     1% | 2026-02-02 00:08
dmKZG-PCS        22   8  5 e2-highmem-4   |      5.22s      5.29s     10.51s |     19.8ms     0.70KB    19.05KB     0% | 2026-02-01 23:09
dmKZG-PCS        23   8 10 e2-highmem-4   |      9.51s     10.00s     19.50s |     24.6ms     0.73KB    19.93KB     0% | 2026-02-02 00:18
dmKZG-PCS        24   8  5 e2-highmem-4   |     19.49s     20.39s     39.88s |     21.4ms     0.76KB    20.80KB     1% | 2026-02-01 23:28
dmKZG-PCS        20  16 10 e2-highmem-2   |    659.5ms    777.1ms      1.44s |     14.6ms     0.63KB    35.62KB     3% | 2026-02-01 03:04
dmKZG-PCS        21  16 10 e2-highmem-2   |      1.28s      1.42s      2.70s |     15.3ms     0.67KB    37.50KB     1% | 2026-02-01 03:40
